session_id,participant_id,cell_id,session_status,technical_test,record_type,record_index,serial_position,opaque_stimulus_id,rating_1_7,playback_completed,technical_error
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","PRACTICE","1","1","practice-01","1","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","PRACTICE","2","2","practice-02","2","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","3","1","stimulus-005","7","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","4","2","stimulus-020","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","5","3","stimulus-001","3","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","6","4","stimulus-016","7","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","7","5","stimulus-023","7","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","8","6","stimulus-010","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","9","7","stimulus-013","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","10","8","stimulus-004","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","11","9","stimulus-021","7","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","12","10","stimulus-012","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","13","11","stimulus-007","4","true",""
"s_mtpzyhwc_29b3147e808c8d72","TECHTEST-001","A-O1","COMPLETE","true","EXPERIMENTAL","14","12","stimulus-018","7","true",""
